"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2019","7,566.02","7,572.71","7,572.71","7,561.93","","0.07%"
"04/05/2019","7,560.97","7,545.57","7,562.75","7,545.57","","0.30%"
"04/04/2019","7,538.10","7,537.14","7,540.01","7,535.82","","0.07%"
"04/03/2019","7,532.72","7,525.08","7,534.02","7,524.06","","0.78%"
"04/02/2019","7,474.12","7,478.46","7,478.71","7,473.59","","0.50%"
"04/01/2019","7,436.96","7,430.71","7,437.60","7,428.25","","1.01%"
"03/29/2019","7,362.72","7,346.46","7,362.72","7,346.46","","0.62%"
"03/28/2019","7,317.50","7,313.03","7,317.61","7,306.56","","-0.60%"
"03/27/2019","7,361.73","7,350.71","7,364.51","7,349.33","","-0.03%"
"03/26/2019","7,364.17","7,354.37","7,364.48","7,354.37","","0.79%"
"03/25/2019","7,306.44","7,309.87","7,323.63","7,306.44","","-2.14%"
"03/22/2019","7,466.08","7,473.05","7,473.92","7,464.73","","1.41%"
"03/21/2019","7,362.04","7,358.61","7,363.17","7,353.51","","0.20%"
"03/20/2019","7,347.12","7,352.51","7,352.83","7,344.18","","-0.03%"
"03/19/2019","7,349.35","7,349.15","7,352.50","7,346.52","","0.70%"
"03/18/2019","7,298.37","7,311.51","7,312.17","7,297.31","","0.35%"
"03/15/2019","7,272.66","7,262.08","7,272.66","7,256.42","","0.19%"
"03/14/2019","7,259.21","7,266.57","7,268.25","7,257.67","","0.45%"
"03/13/2019","7,226.90","7,218.81","7,230.16","7,217.97","","0.76%"
"03/12/2019","7,172.17","7,166.63","7,176.49","7,166.45","","1.80%"
"03/11/2019","7,045.66","7,042.36","7,051.98","7,040.99","","1.30%"
"03/08/2019","6,955.09","6,998.40","6,998.40","6,950.86","","-2.04%"
"03/07/2019","7,100.12","7,111.78","7,117.64","7,099.52","","-0.76%"
"03/06/2019","7,154.75","7,150.50","7,157.76","7,149.27","","0.00%"
"03/05/2019","7,154.79","7,149.94","7,157.04","7,148.83","","-0.40%"
"03/04/2019","7,183.83","7,179.58","7,188.01","7,179.53","","0.62%"
"03/01/2019","7,139.83","7,130.21","7,140.48","7,128.86","","0.60%"
"02/28/2019","7,097.11","7,099.91","7,106.39","7,097.11","","0.01%"
"02/27/2019","7,096.16","7,109.30","7,110.91","7,096.16","","-0.01%"
"02/26/2019","7,097.02","7,103.14","7,104.13","7,095.97","","-0.56%"
"02/25/2019","7,136.70","7,127.03","7,142.72","7,127.03","","1.27%"
"02/22/2019","7,047.02","7,045.28","7,048.53","7,040.83","","-0.14%"
"02/21/2019","7,056.97","7,065.59","7,066.71","7,056.97","","-0.19%"
"02/20/2019","7,070.50","7,061.94","7,072.52","7,061.38","","0.51%"
"02/19/2019","7,034.75","7,046.29","7,046.29","7,034.75","","-0.64%"
"02/15/2019","7,080.26","7,034.74","7,080.26","7,030.89","","1.19%"
"02/14/2019","6,996.86","7,035.95","7,036.70","6,995.88","","-0.53%"
