Date,MUFG_Nikkei_Open,MUFG_Nikkei_High,MUFG_Nikkei_Low,MUFG_Nikkei_Close,MUFG_Nikkei_adj_close,MUFG_Nikkei_Volume,Nikkei_Open,Nikkei_High,Nikkei_Low,Nikkei_Close,Nikkei adj close,Nikkei_Volume,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,MUFG_ADR_Open,target
2016-10-06,529.5,534.5,527.200012,527.200012,408.585693,72888100,16913.599609,16971.279297,16888.769531,16899.099609,16899.099609,110600000.0,4874.88,4878.22,4880.76,4874.88,5.09,0
2016-10-07,528.200012,529.5,521.099976,526.599976,408.120697,46928000,16883.119141,16895.130859,16820.210938,16860.089844,16860.089844,100300000.0,4882.48,4877.36,4882.48,4877.09,5.06,0
2016-10-11,529.700012,535.900024,521.299988,523.0,405.330658,65360900,16936.310547,17074.460938,16931.119141,17024.759766,17024.759766,111600000.0,4888.35,4898.56,4900.27,4888.35,5.02,0
2016-10-12,514.200012,516.5,509.100006,510.399994,395.565552,78517100,16850.730469,16951.539063,16839.410156,16840.0,16840.0,116300000.0,4825.1,4824.82,4825.1,4821.11,4.93,0
2016-10-13,511.0,518.299988,507.0,508.399994,394.015564,65519100,16923.820313,16974.25,16739.730469,16774.240234,16774.240234,111100000.0,4789.44,4806.53,4806.53,4789.44,4.87,0
2016-10-14,506.600006,510.600006,504.600006,509.700012,395.023041,52264800,16751.039063,16866.560547,16727.779297,16856.369141,16856.369141,109400000.0,4828.17,4814.39,4828.17,4813.82,4.89,0
2016-10-17,511.0,516.900024,510.299988,512.400024,397.11554,49824900,16871.839844,16954.439453,16821.490234,16900.119141,16900.119141,95100000.0,4809.08,4811.4,4812.06,4808.94,4.89,0
2016-10-18,508.799988,512.5,502.299988,512.0,396.805573,74695900,16862.310547,16966.900391,16844.169922,16963.609375,16963.609375,98600000.0,4847.5,4823.9,4847.5,4823.9,4.92,1
2016-10-19,514.599976,516.5,510.5,513.400024,397.890564,53240900,16952.910156,17016.660156,16938.460938,16998.910156,16998.910156,101700000.0,4834.95,4832.42,4835.35,4832.39,4.93,1
2016-10-20,513.400024,524.200012,512.099976,523.5,405.71814,76635700,16999.359375,17235.5,16992.140625,17235.5,17235.5,112400000.0,4834.01,4838.01,4838.01,4832.88,5.01,1
2016-10-21,526.0,529.599976,521.5,524.200012,406.260742,71787900,17283.75,17288.890625,17151.980469,17184.589844,17184.589844,114200000.0,4848.86,4857.72,4859.09,4848.86,5.01,1
2016-10-24,524.799988,525.5,517.599976,520.299988,403.238159,45569100,17216.560547,17244.740234,17162.210938,17234.419922,17234.419922,87700000.0,4872.7,4864.91,4872.82,4863.0,5.01,1
2016-10-25,524.400024,533.400024,524.0,530.5,411.14325,70498700,17298.630859,17381.800781,17298.630859,17365.25,17365.25,108400000.0,4911.39,4914.8,4921.94,4910.61,5.04,1
2016-10-26,532.0,533.599976,528.0,532.900024,413.003265,54648400,17329.029297,17391.839844,17295.460938,17391.839844,17391.839844,98100000.0,4871.55,4875.34,4875.34,4870.09,5.06,1
2016-10-27,531.0,537.700012,530.200012,534.700012,414.398285,64091200,17346.390625,17414.210938,17278.119141,17336.419922,17336.419922,107600000.0,4877.85,4879.73,4883.13,4877.6,5.09,1
2016-10-28,544.0,547.0,540.5,543.900024,421.528412,112658900,17448.25,17461.029297,17406.720703,17446.410156,17446.410156,167900000.0,4823.01,4823.66,4823.66,4818.12,5.15,0
2016-10-31,541.799988,549.799988,539.099976,544.599976,422.070892,87969200,17360.890625,17433.130859,17327.619141,17425.019531,17425.019531,157200000.0,4810.88,4809.92,4813.31,4809.37,5.15,0
2016-11-01,547.099976,549.799988,540.799988,547.0,423.930939,64005900,17380.539063,17473.119141,17339.640625,17442.400391,17442.400391,123000000.0,4808.15,4803.97,4810.59,4803.86,5.16,0
2016-11-02,536.0,540.200012,531.400024,534.099976,413.933319,71704900,17238.0,17283.599609,17080.589844,17134.679688,17134.679688,135200000.0,4766.59,4766.96,4767.69,4760.95,5.11,0
2016-11-04,525.0,529.0,515.5,519.400024,402.54068,86023400,16964.5,16996.089844,16801.980469,16905.359375,16905.359375,134800000.0,4642.43,4675.51,4678.98,4632.31,4.98,0
2016-11-07,529.299988,536.400024,527.700012,529.400024,410.290741,65293100,17126.029297,17186.890625,17056.839844,17177.210938,17177.210938,113000000.0,4727.75,4713.68,4727.75,4713.68,5.04,1
2016-11-08,532.700012,537.299988,529.099976,533.0,413.080872,55078400,17242.699219,17247.039063,17130.830078,17171.380859,17171.380859,100000000.0,4771.95,4775.46,4776.07,4767.57,5.03,1
2016-11-09,538.0,543.200012,492.0,501.399994,388.590393,229893200,17281.949219,17427.710938,16111.80957,16251.540039,16251.540039,274900000.0,4746.74,4749.57,4755.59,4733.16,4.98,1
2016-11-10,549.0,563.5,544.700012,557.5,432.068542,276492600,16562.859375,17393.820313,16560.660156,17344.419922,17344.419922,229400000.0,4848.83,4847.99,4850.33,4846.43,5.26,1
2016-11-11,589.0,612.400024,587.599976,607.900024,471.129089,364603200,17526.609375,17621.730469,17333.490234,17374.789063,17374.789063,241800000.0,4725.55,4730.58,4730.8,4725.55,5.65,1
2016-11-14,620.0,625.0,613.0,617.0,478.181732,169741100,17467.490234,17697.330078,17455.779297,17672.619141,17672.619141,165300000.0,4752.37,4754.21,4759.54,4752.28,5.81,1
2016-11-15,635.0,652.900024,630.299988,643.0,498.33194,247476900,17690.220703,17727.580078,17605.769531,17668.150391,17668.150391,173200000.0,4733.02,4712.84,4733.02,4712.84,5.95,1
2016-11-16,666.0,687.299988,665.900024,682.799988,529.177307,279492200,17832.509766,17886.439453,17807.470703,17862.210938,17862.210938,200300000.0,4747.97,4758.21,4758.21,4744.82,6.22,0
